app,repl,value
cassandra,6_8_512_Belady_0_0_no,0.0016669
postgres,6_8_512_Belady_0_0_no,0.00245759
clang,6_8_512_Belady_0_0_no,0.00182224
mediawiki,6_8_512_DynamicBypass_3_2_no,0.00214758
mysql,6_8_512_Belady_0_0_no,0.00257434
python,6_8_512_Belady_0_0_no,0.00203269
mysql,6_8_512_DynamicBypass_3_2_no,0.00238083
tomcat,6_8_512_DynamicBypass_3_2_no,0.00229752
postgres,6_8_512_DynamicBypass_3_2_no,0.00232734
wordpress,6_8_512_foo_0_0_no,0.0020164
mediawiki,6_8_512_Belady_0_0_no,0.0022589
python,6_8_512_DynamicBypass_3_2_no,0.00186869
cassandra,6_8_512_DynamicBypass_3_2_no,0.00161885
postgres,6_8_512_srrip_0_0_no,0.00236836
clang,6_8_512_DynamicBypass_3_2_no,0.00169772
mediawiki,6_8_512_foo_0_0_no,0.00219614
kafka,6_8_512_lru_0_0_no,0.00206383
wordpress,6_8_512_mockingjay_0_0_no,0.00200393
postgres,6_8_512_ship_0_0_no,0.00237222
wordpress,6_8_512_ghrp_0_0_no,0.00200317
python,6_8_512_ghrp_0_0_no,0.00187206
python,6_8_512_srrip_0_0_no,0.00186411
wordpress,6_8_512_Belady_0_0_no,0.00212899
mysql,6_8_512_ghrp_0_0_no,0.00247822
mediawiki,6_8_512_lru_0_0_no,0.00219596
mediawiki,6_8_512_ghrp_0_0_no,0.00219325
mysql,6_8_512_foo_0_0_no,0.00251451
drupal,6_8_512_mockingjay_0_0_no,0.00211907
tomcat,6_8_512_lru_0_0_no,0.00233262
tomcat,6_8_512_Belady_0_0_no,0.00242792
cassandra,6_8_512_mockingjay_0_0_no,0.00161964
kafka,6_8_512_ship_0_0_no,0.00206064
cassandra,6_8_512_ship_0_0_no,0.00162506
clang,6_8_512_foo_0_0_no,0.0017115
kafka,6_8_512_DynamicBypass_3_2_no,0.00202439
python,6_8_512_ship_0_0_no,0.00190556
finagle-chirper,6_8_512_mockingjay_0_0_no,0.00268537
wordpress,6_8_512_lru_0_0_no,0.00200857
finagle-chirper,6_8_512_lru_0_0_no,0.00269606
wordpress,6_8_512_DynamicBypass_3_2_no,0.00199684
postgres,6_8_512_mockingjay_0_0_no,0.00236535
clang,6_8_512_mockingjay_0_0_no,0.00170675
finagle-chirper,6_8_512_foo_0_0_no,0.00267362
tomcat,6_8_512_foo_0_0_no,0.00237084
tomcat,6_8_512_ghrp_0_0_no,0.0023316
wordpress,6_8_512_thermo_0_0_no,0.00206744
clang,6_8_512_lru_0_0_no,0.00171107
finagle-chirper,6_8_512_DynamicBypass_3_2_no,0.00259924
postgres,6_8_512_lru_0_0_no,0.00238695
cassandra,6_8_512_srrip_0_0_no,0.00162141
python,6_8_512_lru_0_0_no,0.00187544
kafka,6_8_512_thermo_0_0_no,0.00208675
clang,6_8_512_ship_0_0_no,0.00170209
clang,6_8_512_ghrp_0_0_no,0.00171102
mysql,6_8_512_lru_0_0_no,0.00248054
tomcat,6_8_512_mockingjay_0_0_no,0.00232764
tomcat,6_8_512_ship_0_0_no,0.00234479
drupal,6_8_512_srrip_0_0_no,0.00211693
kafka,6_8_512_ghrp_0_0_no,0.00205498
drupal,6_8_512_foo_0_0_no,0.00218223
kafka,6_8_512_Belady_0_0_no,0.00213834
mediawiki,6_8_512_thermo_0_0_no,0.00221687
mysql,6_8_512_srrip_0_0_no,0.00246646
mediawiki,6_8_512_srrip_0_0_no,0.00218833
finagle-chirper,6_8_512_Belady_0_0_no,0.00275753
tomcat,6_8_512_srrip_0_0_no,0.00232714
mediawiki,6_8_512_mockingjay_0_0_no,0.00219202
drupal,6_8_512_Belady_0_0_no,0.00223737
python,6_8_512_foo_0_0_no,0.00192844
drupal,6_8_512_DynamicBypass_3_2_no,0.00209664
postgres,6_8_512_thermo_0_0_no,0.00239597
kafka,6_8_512_foo_0_0_no,0.00205466
mysql,6_8_512_ship_0_0_no,0.00247917
finagle-chirper,6_8_512_srrip_0_0_no,0.00268484
clang,6_8_512_srrip_0_0_no,0.00170741
drupal,6_8_512_thermo_0_0_no,0.00217665
mediawiki,6_8_512_ship_0_0_no,0.00219189
cassandra,6_8_512_ghrp_0_0_no,0.00162864
clang,6_8_512_thermo_0_0_no,0.00171236
finagle-chirper,6_8_512_thermo_0_0_no,0.00270699
finagle-chirper,6_8_512_ghrp_0_0_no,0.00268307
postgres,6_8_512_foo_0_0_no,0.0023732
tomcat,6_8_512_thermo_0_0_no,0.00237792
drupal,6_8_512_ship_0_0_no,0.00213849
drupal,6_8_512_ghrp_0_0_no,0.00212736
cassandra,6_8_512_lru_0_0_no,0.00162956
drupal,6_8_512_lru_0_0_no,0.00213232
cassandra,6_8_512_foo_0_0_no,0.00162239
mysql,6_8_512_thermo_0_0_no,0.00251855
mysql,6_8_512_mockingjay_0_0_no,0.00247048
python,6_8_512_mockingjay_0_0_no,0.00186311
wordpress,6_8_512_srrip_0_0_no,0.00200013
finagle-chirper,6_8_512_ship_0_0_no,0.00268975
wordpress,6_8_512_ship_0_0_no,0.00200728
kafka,6_8_512_srrip_0_0_no,0.00205152
cassandra,6_8_512_thermo_0_0_no,0.00162771
kafka,6_8_512_mockingjay_0_0_no,0.00205407
postgres,6_8_512_ghrp_0_0_no,0.00237658
python,6_8_512_thermo_0_0_no,0.00193392
